ESTADO;CÓDIGO;CONCATENADO2;DESC. COMPONENTE;CLASSE;GRUPO;FORNECEDOR;CUSTO UND (ATUAL);CUSTO TOTAL (ATUAL);MÊS;ANO;CUSTO TOTAL (NA COMPRA);MÊS/ANO
PR;2701020055;PR2701020055;PREFORMA 18G CRISTAL;PREFORMA;FURIOSO 250ML;GERAL;0,25664;834026,6189;SET;2024;834026,6189;01/09/2024
PR;2701020059;PR2701020059;PREFORMA 41G CRISTAL;PREFORMA;REFRIKO 2L;ENGEPACK;0,5212;376264,704;SET;2024;376264,704;01/09/2024
PR;2701020102;PR2701020102;PREFORMA 41G VERDE;PREFORMA;REFRIKO 2L;ENGEPACK;0,5212;1199343,744;SET;2024;1199343,744;01/09/2024
MS;2701020059;MS2701020059;PREFORMA 41 G CRISTAL;PREFORMA;REFRIKO 2L;ENGEPACK;0,5553;120264,6528;SET;2024;120264,6528;01/09/2024
MS;2701020075;MS2701020075;PREFORMA PET 46,7GR CRISTAL;PREFORMA;FURIOSO 2L;GERAL;0,594;710519,04;SET;2024;710519,04;01/09/2024
PR;2701020075;PR2701020075;PREFORMA PET 46,7GR CRISTAL ;PREFORMA;FURIOSO 2L;ENGEPACK;0,687488;223208,1039;SET;2024;223208,1039;01/09/2024
MS;2701030037;MS2701030037;TAMPA AMARELA LISA;TAMPA;PET;OXFORD;0,049;66679,2;SET;2024;66679,2;01/09/2024
PR;2701030037;PR2701030037;TAMPA AMARELA LISA;TAMPA;PET;OXFORD;0,04445;201625,2;SET;2024;201625,2;01/09/2024
PR;2801030013;PR2801030013;TAMPA AZUL LISA - IND;TAMPA;PET;OPS ;0,043333;13103,8992;SET;2024;13103,8992;01/09/2024
PR;2801030015;PR2801030015;TAMPA DOURADA LISA - IND;TAMPA;PET;GERAL;0,043333;13103,8992;SET;2024;13103,8992;01/09/2024
MS;2701030043;MS2701030043;TAMPA LARANJA REFRIKO;TAMPA;PET;OXFORD;0,049;7408,8;SET;2024;7408,8;01/09/2024
PR;2701030043;PR2701030043;TAMPA LARANJA REFRIKO;TAMPA;PET;OPS ;0,04445;53766,72;SET;2024;53766,72;01/09/2024
MS;2701030044;MS2701030044;TAMPA LILAS LISA;TAMPA;PET;OXFORD;0,049;7408,8;SET;2024;7408,8;01/09/2024
PR;2701030044;PR2701030044;TAMPA LILAS LISA;TAMPA;PET;OXFORD;0,04445;33604,2;SET;2024;33604,2;01/09/2024
PR;2701030048;PR2701030048;TAMPA ROSA MAGENTA REFRIKO;TAMPA;PET;OXFORD;0,04445;13441,68;SET;2024;13441,68;01/09/2024
SP;2801030014;SP2801030014;TAMPA PLASTICA AZUL OMNI IND                                                         ;TAMPA;PET;OPS ;0,043333;91727,2944;SET;2024;91727,2944;01/09/2024
MS;2701030049;MS2701030049;TAMPA VERDE REFRIKO;TAMPA;PET;OXFORD;0,049;14817,6;SET;2024;14817,6;01/09/2024
PR;2701030049;PR2701030049;TAMPA VERDE REFRIKO;TAMPA;PET;OPS ;0,04445;100812,6;SET;2024;100812,6;01/09/2024
MS;2701030050;MS2701030050;TAMPA VERMELHA LISA;TAMPA;PET;OXFORD;0,049;7408,8;SET;2024;7408,8;01/09/2024
PR;2701030050;PR2701030050;TAMPA VERMELHA LISA;TAMPA;PET;OXFORD;0,04445;40325,04;SET;2024;40325,04;01/09/2024
MS;3002020007;MS3002020007;CARVÃO ATIVADO;TERRA;XAROPARIA;GUARAMEX;12,5;3750;SET;2024;3750;01/09/2024
MS;3002020010;MS3002020010;TERRA CELITE DIATOMITA 2500/535;TERRA;CERVEJARIA;VENETO;8,8;38940;SET;2024;38940;01/09/2024
MS;3002020009;MS3002020009;TERRA CELITE DIATOMITA SPEEDFLOW/STANDARD (VERMELHO);TERRA;CERVEJARIA;VENETO;8,8;15576;SET;2024;15576;01/09/2024
MS;2701150001;MS2701150001;VASILHAME GINGUALA 970ML;VASILHAME;NORMAL;GERAL;1,57;309478,4;SET;2024;309478,4;01/09/2024
MS;2701150006;MS2701150006;VASILHAME AMBAR 300ML - LITRINHO;VASILHAME;NORMAL;VERALLIA;0,74;75213,6;SET;2024;75213,6;01/09/2024
MS;2701010119;MS2701010119;ROTULO BAMBOA TRADICIONAL VODKA;ROTULO;ADESIVO;ALL4LABELL;0,077;38500;OUT;2024;38500;01/10/2024
PR;2701050011;PR2701050011;AROMA LIMAO REFRIKO 41;AROMA;REFRIGERANTE;GERAL;48;12000;OUT;2024;12000;01/10/2024
MS;2701050025;MS2701050025;CONCENTRADO BEBIDAS ENERGETICA;AROMA;KIT ENERGÉTICO;WILD AMAZON;168,4;1347200;OUT;2024;1347200;01/10/2024
PR;2801050034;PR2801050034;CONCENTRADO BEBIDAS ENERGETICA IND;AROMA;KIT ENERGÉTICO;WILD AMAZON;168,4;1347200;OUT;2024;1347200;01/10/2024
PR;2701010156;PR2701010156;ROTULO BOPP REFRISHOW GUARANA 2 L;ROTULO;BOPP;C-MAB;0,0355;17750;OUT;2024;17750;01/10/2024
MS;2701010138;MS2701010138;ROTULO GUARANA 2L;ROTULO;BOPP;ELLO;0,0355;10650;OUT;2024;10650;01/10/2024
PR;2701010138;PR2701010138;ROTULO GUARANA 2L;ROTULO;BOPP;MABFLE;0,0355;14200;OUT;2024;14200;01/10/2024
MS;2701010140;MS2701010140;ROTULO GUARANA 500ML;ROTULO;BOPP;MABFLE;0,0128;6400;OUT;2024;6400;01/10/2024
PR;2701010141;PR2701010141;ROTULO GUARANA 200 ML ZERO (PROPRIO);ROTULO;BOPP;ELLO;0,008;12000;OUT;2024;12000;01/10/2024
PR;2701010132;PR2701010132;ROTULO REFRIKO COLA 2L;ROTULO;BOPP;MABFLE;0,0355;7100;OUT;2024;7100;01/10/2024
MS;2701010132;MS2701010132;ROTULO REFRIKO COLA 2L;ROTULO;BOPP;GERAL;0,0355;7100;OUT;2024;7100;01/10/2024
MS;2701010163;MS2701010163;ROTULO TUBA JUJUBA 2L;ROTULO;BOPP;MABFLE;0,0355;7100;OUT;2024;7100;01/10/2024
PR;2701010163;PR2701010163;ROTULO TUBA JUJUBA 2L;ROTULO;BOPP;ELLO;0,0355;24850;OUT;2024;24850;01/10/2024
PR;2701010150;PR2701010150;ROTULO TUBAINA 2L;ROTULO;BOPP;C-MAB;0,0355;14200;OUT;2024;14200;01/10/2024
MS;2701010161;MS2701010161;ROTULO TERNURA TUBAINA 2L;ROTULO;BOPP;ELLO;0,0355;3550;OUT;2024;3550;01/10/2024
MS;2701010145;MS2701010145;ROTULO REFRIKO LARANJA DQI1% 500 ML;ROTULO;BOPP;C-MAB;0,0128;1280;OUT;2024;1280;01/10/2024
PR;2701010143;PR2701010143;ROTULO REFRIKO LARANJA DQI1% 200 ML (PROPRIO);ROTULO;BOPP;Janela;0,008;2400;OUT;2024;2400;01/10/2024
MS;2701240004;MS2701240004;CHAPA SEM IMPRESSAO 1000X1200 (NOVA);SEPARADOR DE CAMADAS;CHAPA;GERAL;1,25;51250;OUT;2024;51250;01/10/2024
PR;DAT1;PRDAT1;SOLVENTE LINX 1512 ;NÃO PRODUTIVO;DATADORA;GERAL;0;0;AGO;2024;0;01/08/2024
PR;DAT2;PRDAT2;TINTA LINX 1240;NÃO PRODUTIVO;DATADORA;LeituraAvançada;0;0;AGO;2024;0;01/08/2024
PR;FILT2;PRFILT2;FILTRO 10MIC (C- MIC 2020491 - 10µ (BIG);NÃO PRODUTIVO;FILTRAGEM;GERAL;0;0;SET;2024;0;01/09/2024
SP;CIP3;SPCIP3;GTECH 8338;NÃO PRODUTIVO;CIP;GERAL;0;0;SET;2024;0;01/09/2024
MS;2701140029;MS2701140029;TAMPA - LATA 350/269/473ML - B64;TAMPA;LATA;GERAL;0,24;700800;SET;2024;700800;01/09/2024
MS;2701140029;MS2701140029;TAMPA - LATA 350/269/473ML - B64;TAMPA;LATA;GERAL;0,24;700800;SET;2024;700800;01/09/2024
MS;2701140029;MS2701140029;TAMPA - LATA 350/269/473ML - B64;TAMPA;LATA;GERAL;0,24;700800;SET;2024;700800;01/09/2024
PA;12039992;PA12039992;SOLUÇÃO DILUENTE MC2BK 124 (DATADORA);NÃO PRODUTIVO;DATADORA;GERAL;0;0;SET;2024;0;01/09/2024
PA;12039994;PA12039994;LUBRIFICANTES DE ESTEIRAS GTECH 8338;NÃO PRODUTIVO;CIP;GERAL;0;0;SET;2024;0;01/09/2024
PR;CIP4;PRCIP4;GTECH 8338;NÃO PRODUTIVO;CIP;GERAL;0;0;SET;2024;0;01/09/2024
MS;CIP3;MSCIP3;B - 160 (CIP ENCHEDORA PET);NÃO PRODUTIVO;CIP;GERAL;0;0;SET;2024;0;01/09/2024
MS;2701190004;MS2701190004;XAROPE DE HIGH MALTOSE 25KG (BREWGILL);CERVEJARIA;OUTROS;TEREOS;2,78;83400;SET;2024;83400;01/09/2024
